0	2469775	1721.29	1372.23	1797.33	2413.37	0.423525	0.433936	
1	944023	1105.08	1340.15	2072.83	1671.09	0.395083	0.551446	
2	12207987	1688.87	1800.19	2377.46	2392.18	0.422471	0.505848	
3	268363	1275.29	1891.61	1318.49	987.749	0.578625	0.58652	
4	1777425	1486.68	2087.35	1960.32	1413.09	0.514438	0.582613	
5	9131327	1614.37	1214.14	2330.53	3086.85	0.34302	0.429871	
6	686151	293.457	718.991	3105.13	1189.68	0.190767	0.720546	
7	1216005	875.034	1139.16	1937.09	1426.93	0.37451	0.571983	
8	53921	2258.38	955.054	1233.05	2950.25	0.434439	0.295821	
9	1616037	509.643	2284.42	2259.25	581.186	0.495885	0.806402	
10	3883583	1594.95	1189.27	2290.47	3041.06	0.343063	0.428764	
11	6800049	1119.67	1194.08	1690.67	1656.13	0.40875	0.509624	
12	1797039	1422.16	1933.62	1937.7	1603.61	0.48655	0.561298	
13	1813471	1239.14	656.734	1969.82	3074.34	0.273179	0.378464	
14	4046387	269.169	815.703	3125.68	1075.94	0.205216	0.745557	
15	13840583	641.483	574.849	2152.81	2276.52	0.215446	0.483143	
16	865749	1107.27	1707.61	3127.07	2402.89	0.33732	0.579361	
17	122291	471.197	1730.58	1948.68	529.206	0.470498	0.786223	
18	9492415	205.96	64.1943	51.0286	184.78	0.533941	0.22773	
19	748869	804.097	1505.68	3119.66	2071.42	0.307935	0.616641	
20	1693893	1547.91	869.131	1405.13	2571.19	0.378054	0.355723	
21	1721033	1491.73	1447.62	3128.71	3080.12	0.321304	0.500245	
22	7446861	1012.58	1148.26	1765.3	1615.89	0.389901	0.525721	
23	370379	1044.76	738.691	1869.18	2661.33	0.282461	0.413032	
24	12758121	1433.62	951.597	2570.07	3090.48	0.296456	0.437705	
25	1111983	954.571	421.377	927.854	2389.19	0.293192	0.287499	
26	3296553	1298.78	832.391	1639.55	2650.25	0.331908	0.384979	
27	3781447	1612.47	806.8	1690.46	3075.12	0.336718	0.347573	
28	2693141	1247.69	947.629	1637.34	2180.64	0.365077	0.429875	
29	2804357	1102.37	781.366	3139.13	3087.33	0.232268	0.483403	
30	2753677	1123.99	1095.43	1966.93	1915.51	0.363729	0.501873	
31	241563	970.674	872.091	2247.06	2643.91	0.273662	0.463213	
32	1884727	1668.67	1010.45	1785.07	3065.42	0.355811	0.37127	
33	1968511	1161.97	1095.49	1633.82	1779.48	0.398088	0.481295	
34	31407	1211.29	1357.64	1657.37	1558.08	0.444115	0.521233	
35	346629	2313.85	1294.89	1977.82	3076.35	0.416574	0.377784	
36	2291885	1385.19	881.64	1507.73	2355.21	0.369806	0.389798	
37	407261	923.34	978.306	1901.03	1891.81	0.333945	0.505636	
38	2386217	1193.32	903.849	1624.59	2281.38	0.349346	0.421186	
39	3634147	1194.29	939.68	2408.73	3085.92	0.279733	0.438927	
40	2777509	2868.09	1229.65	1008.62	2174.88	0.562781	0.307402	
41	707743	1184.89	1142.94	2136.89	2151.24	0.351851	0.495746	
